word,course,date,topic,subtopic,emojiRating
idea,201,2018-03-19 00:00:00,assignments,Confused by grading,2
i'm,201,2018-03-19 00:00:00,assignments,Confused by grading,2
far,201,2018-03-19 00:00:00,assignments,Confused by grading,2
we've,201,2018-03-19 00:00:00,assignments,Confused by grading,2
turned,201,2018-03-19 00:00:00,assignments,Confused by grading,2
four,201,2018-03-19 00:00:00,assignments,Confused by grading,2
assignments,201,2018-03-19 00:00:00,assignments,Confused by grading,2
far,201,2018-03-19 00:00:00,assignments,Confused by grading,2
received,201,2018-03-19 00:00:00,assignments,Confused by grading,2
feedback,201,2018-03-19 00:00:00,assignments,Confused by grading,2
super,201,2018-03-19 00:00:00,assignments,Confused by grading,2
frustrating,201,2018-03-19 00:00:00,assignments,Confused by grading,2
might,201,2018-03-19 00:00:00,assignments,Confused by grading,2
great,201,2018-03-19 00:00:00,assignments,Confused by grading,2
might,201,2018-03-19 00:00:00,assignments,Confused by grading,2
failing,201,2018-03-19 00:00:00,assignments,Confused by grading,2
i'd,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
ask,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
time,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
tas,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
try,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
bring,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
additional,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
tas,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
turn,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
around,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
assignments,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
faster,207,2018-02-22 00:00:00,assignments,Lectures are confusing and difficult,3
way,241,2018-06-12 00:00:00,live session,Class discussion,4
encourage,241,2018-06-12 00:00:00,live session,Class discussion,4
lots,241,2018-06-12 00:00:00,live session,Class discussion,4
class,241,2018-06-12 00:00:00,live session,Class discussion,4
discussion,241,2018-06-12 00:00:00,live session,Class discussion,4
really,241,2018-06-12 00:00:00,live session,Class discussion,4
nice,241,2018-06-12 00:00:00,live session,Class discussion,4
async,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
going,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
pretty,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
well,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
super,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
applicable,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
live,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
session,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
discussion,201,2018-04-20 00:00:00,async,Lectures are confusing and difficult,3
abe,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
lincoln,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
best,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
professor,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
i've,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
ever,203,2018-07-31 00:00:00,instructors,Lectures are confusing and difficult,5
tech,241,2018-10-26 00:00:00,technology,Lectures are confusing and difficult,1
bad,241,2018-10-26 00:00:00,technology,Lectures are confusing and difficult,1
great,201,2018-08-23 00:00:00,technology,Lectures are confusing and difficult,4
bot,201,2018-08-23 00:00:00,technology,Lectures are confusing and difficult,4
breakout,200,2018-12-08 00:00:00,live session,Class discussion,5
sessions,200,2018-12-08 00:00:00,live session,Class discussion,5
engaging,200,2018-12-08 00:00:00,live session,Class discussion,5
really,200,2018-12-08 00:00:00,live session,Class discussion,5
enjoyed,200,2018-12-08 00:00:00,live session,Class discussion,5
discussion,200,2018-12-08 00:00:00,live session,Class discussion,5
questions,200,2018-12-08 00:00:00,live session,Class discussion,5
one,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
person,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
dominated,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
fullclass,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
discussion,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
annoying,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
overall,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
good,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
class,200,2019-01-11 00:00:00,live session,Lectures are confusing and difficult,2
they're,201,2018-04-08 00:00:00,assignments,Class discussion,2
fine,201,2018-04-08 00:00:00,assignments,Class discussion,2
problem,201,2018-04-08 00:00:00,assignments,Class discussion,2
sets,201,2018-04-08 00:00:00,assignments,Class discussion,2
really,201,2018-04-08 00:00:00,assignments,Class discussion,2
helpful,201,2018-04-08 00:00:00,assignments,Class discussion,2
gotten,201,2018-04-08 00:00:00,assignments,Class discussion,2
feedback,201,2018-04-08 00:00:00,assignments,Class discussion,2
far,201,2018-04-08 00:00:00,assignments,Class discussion,2
i'm,201,2018-04-08 00:00:00,assignments,Class discussion,2
sure,201,2018-04-08 00:00:00,assignments,Class discussion,2
well,201,2018-04-08 00:00:00,assignments,Class discussion,2
i'm,201,2018-04-08 00:00:00,assignments,Class discussion,2
actually,201,2018-04-08 00:00:00,assignments,Class discussion,2
async,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
okay,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
felt,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
superfluous,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
though,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
really,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
anything,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
talked,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
live,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
session,200,2018-10-06 00:00:00,async,Lectures are confusing and difficult,2
feel,266,2018-06-29 00:00:00,assignments,Class discussion,3
like,266,2018-06-29 00:00:00,assignments,Class discussion,3
could,266,2018-06-29 00:00:00,assignments,Class discussion,3
use,266,2018-06-29 00:00:00,assignments,Class discussion,3
extra,266,2018-06-29 00:00:00,assignments,Class discussion,3
ta,266,2018-06-29 00:00:00,assignments,Class discussion,3
,266,2018-06-29 00:00:00,assignments,Class discussion,3
would,266,2018-06-29 00:00:00,assignments,Class discussion,3
really,266,2018-06-29 00:00:00,assignments,Class discussion,3
help,266,2018-06-29 00:00:00,assignments,Class discussion,3
problem,266,2018-06-29 00:00:00,assignments,Class discussion,3
set,266,2018-06-29 00:00:00,assignments,Class discussion,3
feedback,266,2018-06-29 00:00:00,assignments,Class discussion,3
