source,feedback_text,topic,sub_topic
team_generated,"i have no idea how i’m doing so far. we’ve turned in four assignments so far, but i haven’t received feedback on ANY of them. it’s super frustrating. i might be doing great, but i might be failing.",feedback,slow turnaround
team_generated,"i’d ask for more time from the TAs, or try to bring  on some additional TAs so they can turn around assignments faster",feedback,slow turnaround
team_generated,the way that they encourage lots of class discussion is really nice,live session,good discussion
team_generated,"async is going pretty well, but not super applicable to the live session discussion",async,disconnected from live session
team_generated,abe lincoln is the best professor i’ve ever had,instructor,
team_generated,tech is bad,tech,negative
team_generated,this is a great bot,tech,positive
team_generated,"pretty well, actually! i think i’m finally getting the hang of things.",course material,understandable
team_generated,"the breakout sessions were very engaging, and i really enjoyed the discussion questions",live session,good discussion
team_generated,"one person dominated the full-class discussion, which was annoying. but overall it was a good class",live session,unbalanced
team_generated,"they’re fine. problem sets are really helpful, but we haven’t gotten any feedback on them so far so i’m not sure how well i’m actually doing on these.",feedback,slow turnaround
team_generated,async was okay. it felt superfluous though. it didn’t really have anything to do with what we talked about in live session,async,disconnected from live session
team_generated,"i feel like we could use an extra TA - it would really help with the problem set feedback turnaround. other than that, things are going well though",feedback,slow turnaround
team_generated,class is… not going well. i’m feeling a little lost with this week’s material,course material,confusing
team_generated,"live session was good! lots of lively discussion, which made class go by really fast, which was nice",live session,good discussion
team_generated,"async was pretty repetitive. it felt like a lot of the material was covered multiple times, and then AGAIN in the live session :sleepy:",async,low quality
team_generated,"still haven’t gotten any feedback on assignments so far, which is frustrating. they’re pretty straightforward, though, which is nice.
we really need to start getting feedback on assignments we’ve turned in. we’re halfway through the semester and i don’t have any grades yet. not okay.",feedback,slow turnaround
team_generated,"class is going well! i feel like i’m understanding the material finally, even though i’m not sure what my grade is yet because we haven’t gotten any grades backyet",feedback,slow turnaround
team_generated,"it was good - it ran half an hour over, which was tough, but the discussion was fun so it didn’t seem like it took as long as it did",live session,good discussion
team_generated,"it was good - it ran half an hour over, which was tough, but the discussion was fun so it didn’t seem like it took as long as it did",live session,not keeping schedule
team_generated,"async felt a little long this week, it didn’t seem super relevant to what we talked about in live session",async,disconnected from live session
team_generated,"the problem sets have been really difficult. i’ve learned a lot, but they take FOREVER and if i wasn’t working with some other students, i’d be totally lost",assignments,too difficult
team_generated,"live sessions have been running late recently, which has been really tough on my schedule (i’m in a different time zone, so going late means cutting into my sleep). if we could keep class to the scheduled time, that would make things much easier.",live session,not keeping schedule
team_generated,"class is going REALLY well right now. i’m really enjoying the recent material, and i’m starting to get the hang of it. i feel like i’m keeping up with everyone else for the first  time",course material,understandable
team_generated,"i  thought the discussion was really productive, though it did get kind  of tense at one point. once we got past the first reading, though, i thought things got back to  normal.",live session,unbalanced
team_generated,"it was okay. i feel like the async for the last couple of weeks hasn’t had anything to do with what we’ve actually talked about in live session, but it has been interesting at least. i’m struggling to see why i need to be watching it, though, since we never end up actually reviewing or talking through it",async,disconnected from live session
team_generated,"didn’t have any assignments this week, so all good",assignments,
team_generated,live session hasn’t really had anything to do with the async lectures. i’m not really sure whether live session or async is more relevant to what we’re supposed to be taking out of this class :disappointed:,async,disconnected from live session
team_generated,haven't gotten any feedback on assignments yet. we're halfway through the semester. this is unacceptable,feedback,slow turnaround
team_generated,live session feels like a waste of time,live session,not helpful
team_generated,"live session runs forever, feels superfluous, doesn't relate at all to the things we review in async",live session,not helpful
team_generated,async and live session have nothing to do with each other,async,disconnected from live session
